Drug Name,Temperature (oC),Concentration (mM),% Transmittance,Difference from Control
KCl,29,6,84.26877228,5.130366146
KCl,30,6,71.77942913,15.25010659
KCl,31,6,59.33805863,24.80145554
KCl,32,6,51.32551708,30.14491133
KCl,33,6,46.06099692,33.06757601
KCl,34,6,42.55984131,35.24381379
KCl,35,6,40.14825433,36.23532403
KCl,36,6,38.93438628,36.3433701
KCl,37,6,38.22375364,36.36385212
KCl,38,6,37.81522307,36.20209303
KCl,39,6,37.64147791,35.97923184
KCl,40,6,37.46853103,36.71941261
KCl,25,8,102.4865011,-2.486501133
KCl,26,8,97.57382572,-0.671693492
KCl,27,8,93.25382765,0.862867043
KCl,28,8,87.76742025,4.136351083
KCl,29,8,78.40311781,10.99602062
KCl,30,8,63.38697113,23.64256459
KCl,31,8,51.60201571,32.53749845
KCl,32,8,44.12316595,37.34726245
KCl,33,8,39.71915495,39.40941798
KCl,34,8,36.67189338,41.13176172
KCl,35,8,34.7003083,41.68327006
KCl,36,8,33.62533863,41.65241775
KCl,37,8,33.08770665,41.49989912
KCl,38,8,32.85993248,41.15738362
KCl,39,8,32.65878322,40.96192653
KCl,40,8,32.50872974,41.6792139
KCl,25,10,98.47666521,1.523334789
KCl,26,10,93.11078755,3.791344679
KCl,27,10,87.76742025,6.349274437
KCl,28,10,80.78548439,11.11828695
KCl,29,10,68.86522963,20.53390879
KCl,30,10,54.07543229,32.95410342
KCl,31,10,44.63408814,39.50542603
KCl,32,10,38.72576449,42.74466391
KCl,33,10,34.91403155,44.21454137
KCl,34,10,32.33453849,45.46911661
KCl,35,10,30.73736729,45.64621107
KCl,36,10,29.94562166,45.33213472
KCl,37,10,29.53475233,45.05285343
KCl,38,10,29.39905247,44.61826363
KCl,39,10,29.12952034,44.49118941
KCl,40,10,29.0625243,45.12541934
CaCl2,25,0,100,0
CaCl2,26,0,94.62371614,0
CaCl2,27,0,91.48151186,0
CaCl2,28,0,91.55175347,0
CaCl2,29,0,91.76280206,0
CaCl2,30,0,90.57326009,0
CaCl2,31,0,89.60522472,0
CaCl2,32,0,88.17253626,0
CaCl2,33,0,87.29713684,0
CaCl2,34,0,86.69618758,0
CaCl2,35,0,86.23164414,0
CaCl2,36,0,85.83544572,0
CaCl2,37,0,85.83544572,0
CaCl2,38,0,85.96730918,0
CaCl2,39,0,86.09937522,0
CaCl2,40,0,86.49679188,0
CaCl2,25,2,94.47857479,5.521425207
CaCl2,26,2,91.0611925,3.56252364
CaCl2,27,2,87.23015952,4.251352346
CaCl2,28,2,83.62446134,7.927292127
CaCl2,29,2,76.09100729,15.67179477
CaCl2,30,2,63.77737888,26.79588121
CaCl2,31,2,48.67806803,40.92715669
CaCl2,32,2,39.71915495,48.45338131
CaCl2,33,2,34.72695199,52.57018485
CaCl2,34,2,31.38099189,55.31519568
CaCl2,35,2,28.95120648,57.28043766
CaCl2,36,2,27.31073155,58.52471418
CaCl2,37,2,26.20193309,59.63351263
CaCl2,38,2,25.52701303,60.44029616
CaCl2,39,2,24.85039712,61.2489781
CaCl2,40,2,24.37810818,62.11868369
CaCl2,25,4,95.4992586,4.500741398
CaCl2,26,4,92.32797987,2.295736266
CaCl2,27,4,88.51156098,2.96995088
CaCl2,28,4,84.9180475,6.633705968
CaCl2,29,4,76.61844496,15.1443571
CaCl2,30,4,64.41692655,26.15633354
CaCl2,31,4,47.06159766,42.54362706
CaCl2,32,4,36.58755037,51.58498589
CaCl2,33,4,31.30881761,55.98831923
CaCl2,34,4,28.09743445,58.59875313
CaCl2,35,4,25.96171233,60.26993181
CaCl2,36,4,24.62256731,61.21287841
CaCl2,37,4,23.56857545,62.26687027
CaCl2,38,4,23.06747189,62.8998373
CaCl2,39,4,22.55970069,63.53967453
CaCl2,40,4,22.30146193,64.19532995
CaCl2,25,6,95.20651465,4.793485348
CaCl2,26,6,92.04495718,2.578758961
CaCl2,27,6,88.1048873,3.376624562
CaCl2,28,6,84.52788452,7.023868955
CaCl2,29,6,76.61844496,15.1443571
CaCl2,30,6,64.86344335,25.70981673
CaCl2,31,6,47.20630413,42.39892059
CaCl2,32,6,36.25211369,51.92042257
CaCl2,33,6,30.90295433,56.39418251
CaCl2,34,6,27.64818754,59.04800004
CaCl2,35,6,25.56622853,60.66541561
CaCl2,36,6,24.17315481,61.66229091
CaCl2,37,6,23.2987882,62.53665753
CaCl2,38,6,22.64644308,63.32086611
CaCl2,39,6,22.28435149,63.81502373
CaCl2,40,6,21.89441438,64.6023775
CaCl2,25,8,96.01372814,3.986271862
CaCl2,26,8,92.68298234,1.940733799
CaCl2,27,8,88.64753559,2.833976275
CaCl2,28,8,85.17915616,6.372597316
CaCl2,29,8,77.14953865,14.61326341
CaCl2,30,8,65.61452663,24.95873346
CaCl2,31,8,47.7162897,41.88893502
CaCl2,32,8,36.50340134,51.66913492
CaCl2,33,8,30.80822424,56.4889126
CaCl2,34,8,27.62697491,59.06921266
CaCl2,35,8,25.54661325,60.68503088
CaCl2,36,8,24.09905429,61.73639144
CaCl2,37,8,23.1739465,62.66149922
CaCl2,38,8,22.5943577,63.37295148
CaCl2,39,8,22.23309891,63.86627631
CaCl2,40,8,21.86083099,64.63596089
CaCl2,25,10,95.57258513,4.427414872
CaCl2,26,10,92.18635991,2.437356228
CaCl2,27,10,88.24023716,3.241274704
CaCl2,28,10,84.65773926,6.894014216
CaCl2,29,10,76.38357836,15.3792237
CaCl2,30,10,65.16283941,25.41042068
CaCl2,31,10,47.46061192,42.1446128
CaCl2,32,10,36.0578643,52.11467196
CaCl2,33,10,30.54921113,56.74792571
CaCl2,34,10,27.39470743,59.30148014
CaCl2,35,10,25.39023185,60.84141229
CaCl2,36,10,23.93315756,61.90228816
CaCl2,37,10,22.96148648,62.87395924
CaCl2,38,10,22.4044008,63.56290838
CaCl2,39,10,21.82729912,64.2720761
CaCl2,40,10,21.52781735,64.96897453
Sodium Citrate Dyhydrate,25,0,100,0
Sodium Citrate Dyhydrate,26,0,97.34941215,0
Sodium Citrate Dyhydrate,27,0,93.82818886,0
Sodium Citrate Dyhydrate,28,0,91.69239853,0
Sodium Citrate Dyhydrate,29,0,89.19352611,0
Sodium Citrate Dyhydrate,30,0,86.89604293,0
Sodium Citrate Dyhydrate,31,0,84.01045432,0
Sodium Citrate Dyhydrate,32,0,80.72350302,0
Sodium Citrate Dyhydrate,33,0,78.34296428,0
Sodium Citrate Dyhydrate,34,0,76.55966069,0
Sodium Citrate Dyhydrate,35,0,75.27775638,0
Sodium Citrate Dyhydrate,36,0,74.53037962,0
Sodium Citrate Dyhydrate,37,0,74.13102413,0
Sodium Citrate Dyhydrate,38,0,73.847081,0
Sodium Citrate Dyhydrate,39,0,73.56422545,0
Sodium Citrate Dyhydrate,40,0,73.847081,0
Sodium Citrate Dyhydrate,25,2,103.9920166,-3.992016583
Sodium Citrate Dyhydrate,26,2,100.6159117,-3.266499529
Sodium Citrate Dyhydrate,27,2,97.05099672,-3.222807866
Sodium Citrate Dyhydrate,28,2,93.54056741,-1.848168887
Sodium Citrate Dyhydrate,29,2,86.43042861,2.763097502
Sodium Citrate Dyhydrate,30,2,75.91600283,10.9800401
Sodium Citrate Dyhydrate,31,2,60.48764367,23.52281065
Sodium Citrate Dyhydrate,32,2,49.54501908,31.17848394
Sodium Citrate Dyhydrate,33,2,43.95416154,34.38880273
Sodium Citrate Dyhydrate,34,2,41.71894654,34.84071415
Sodium Citrate Dyhydrate,35,2,40.33357025,34.94418613
Sodium Citrate Dyhydrate,36,2,39.41546611,35.11491352
Sodium Citrate Dyhydrate,37,2,38.75549902,35.37552511
Sodium Citrate Dyhydrate,38,2,38.16512303,35.68195797
Sodium Citrate Dyhydrate,39,2,37.69930408,35.86492136
Sodium Citrate Dyhydrate,40,2,37.23917063,36.60791037
Sodium Citrate Dyhydrate,25,4,100.9252886,-0.925288608
Sodium Citrate Dyhydrate,26,4,97.12551471,0.223897435
Sodium Citrate Dyhydrate,27,4,93.68426776,0.143921101
